Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1525455316215400,116554 | 8513345 | 128075 | 55 | FKS8658,mc,2018-12-25 07:17:44,BRST,SettledInstallment,1725457294203836,BRL,,275.54,1,BRL,,0.00,7.58,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116554
TurbiBR,TurbiBRCOM,4525457366994094,116678 | 8524060 | 128199 | 3 | GFF2698,mc,2018-12-25 15:37:49,BRST,SettledInstallment,1625457594202067,BRL,,124.04,1,BRL,,0.00,3.41,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116678
TurbiBR,TurbiBRCOM,1825456449742010,116628 | 8508063 | 128149 | 47 | GET4023,mc,2018-12-25 19:32:49,BRST,SettledInstallment,4525457735227796,BRL,,253.96,1,BRL,,0.00,6.98,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116628
TurbiBR,TurbiBRCOM,1325457627710543,116688 | 8520441 | 128209 | 3 | GFF2698,mc,2018-12-25 20:27:50,BRST,SettledInstallment,4325457768215264,BRL,,59.75,1,BRL,,0.00,1.64,,,,,0000024984,20618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116688
TurbiBR,TurbiBRCOM,4345456454596413,116630 | 8508669 | 128151 | 41 | FCC3441,mc,2018-12-24 22:32:48,BRST,SettledInstallment,4545456979216479,BRL,,103.83,1,BRL,,0.00,2.86,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116630
TurbiBR,TurbiBRCOM,4745457315646351,116675 | 8502787 | 128196 | 55 | FKS8658,mc,2018-12-25 10:12:47,BRST,SettledInstallment,4645457399216262,BRL,,50.65,1,BRL,,0.00,1.39,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116675
TurbiBR,TurbiBRCOM,1545457420469911,116680 | 8496339 | 128201 | 27 | GIE0915,mc,2018-12-25 17:37:53,BRST,SettledInstallment,1545457666218311,BRL,,239.03,1,BRL,,0.00,6.57,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116680
TurbiBR,TurbiBRCOM,1845457398383968,116679 | 8503836 | 128200 | 55 | FKS8658,mc,2018-12-25 13:12:51,BRST,SettledInstallment,4545457507215645,BRL,,48.81,1,BRL,,0.00,1.34,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116679
TurbiBR,TurbiBRCOM,4845456872945171,116669 | 8501284 | 128190 | 27 | GIE0915,mc,2018-12-25 02:17:49,BRST,SettledInstallment,1345457114216091,BRL,,233.92,1,BRL,,0.00,6.43,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116669
TurbiBR,TurbiBRCOM,1345456824648296,116668 | 8509068 | 128189 | 22 | FWL2173,mc,2018-12-24 23:07:58,BRST,SettledInstallment,4645457000210456,BRL,,194.57,1,BRL,,0.00,5.35,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116668
TurbiBR,TurbiBRCOM,4745454871123446,116493 | 8505586 | 128014 | 58 | GIV7241,mc,2018-12-25 18:07:46,BRST,SettledInstallment,4545457684225680,BRL,,505.61,1,BRL,,0.00,13.90,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116493
